vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2021-01-01T00:05:35.000,2021-01-01T00:11:36.000,1,2.30,1,N,107,237,1,8,0.5,0.5,2.95,0,0.3,14.75,2.5
2,2021-01-01T00:05:44.000,2021-01-01T00:13:42.000,1,2.72,1,N,48,151,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,2021-01-01T00:05:49.000,2021-01-01T00:25:39.000,1,6.38,1,N,234,37,2,21,0.5,0.5,0,0,0.3,24.8,2.5
2,2021-01-01T00:05:50.000,2021-01-01T00:14:37.000,1,2.62,1,N,249,261,1,9.5,0.5,0.5,2,0,0.3,15.3,2.5
,2021-01-01T00:05:50.000,2021-01-01T00:17:01.000,,2.50,,,48,114,,10,0.5,0.5,2.76,0,0.3,16.56,2.5
2,2021-01-01T00:05:55.000,2021-01-01T00:21:17.000,2,7.01,1,N,261,236,2,21.5,0.5,0.5,0,0,0.3,25.3,2.5
2,2021-01-01T00:05:57.000,2021-01-01T00:28:34.000,1,6.88,1,N,233,198,2,23,0.5,0.5,0,0,0.3,26.8,2.5
,2021-01-01T00:06:00.000,2021-01-01T00:31:00.000,,5.11,,,69,75,,23.82,0,0.5,2.75,0,0.3,27.37,0
2,2021-01-01T00:06:03.000,2021-01-01T00:16:07.000,1,1.40,1,N,230,140,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
1,2021-01-01T00:06:08.000,2021-01-01T00:18:08.000,4,3.00,1,N,138,82,2,12,0.5,0.5,0,0,0.3,13.3,0
2,2021-01-01T00:06:11.000,2021-01-01T00:23:40.000,1,8.06,1,N,75,264,1,24.5,0.5,0.5,5.66,0,0.3,33.96,2.5
2,2021-01-01T00:06:19.000,2021-01-01T00:19:48.000,1,3.47,1,N,140,151,2,13,0.5,0.5,0,0,0.3,16.8,2.5
1,2021-01-01T00:06:20.000,2021-01-01T00:14:20.000,1,0.50,1,N,68,186,4,4.5,3,0.5,0,0,0.3,8.3,2.5
2,2021-01-01T00:06:21.000,2021-01-01T00:16:11.000,1,3.66,1,N,68,238,1,12,0.5,0.5,3.16,0,0.3,18.96,2.5
1,2021-01-01T00:06:23.000,2021-01-01T00:20:09.000,2,3.70,1,Y,164,87,1,13.5,3,0.5,4.3,0,0.3,21.6,2.5
1,2021-01-01T00:06:23.000,2021-01-01T00:19:09.000,1,3.40,1,N,164,231,2,12.5,3,0.5,0,0,0.3,16.3,2.5
2,2021-01-01T00:06:24.000,2021-01-01T00:23:40.000,1,4.65,1,N,4,43,1,17,0.5,0.5,2,0,0.3,22.8,2.5
2,2021-01-01T00:06:25.000,2021-01-01T00:23:23.000,1,6.17,1,N,48,41,2,20,0.5,0.5,0,0,0.3,23.8,2.5
2,2021-01-01T00:06:27.000,2021-01-01T00:13:53.000,1,3.70,1,N,132,219,1,12,0.5,0.5,2.66,0,0.3,15.96,0
2,2021-01-01T00:06:32.000,2021-01-01T00:17:45.000,2,4.81,1,N,239,244,2,15.5,0.5,0.5,0,0,0.3,19.3,2.5
,2021-01-01T00:06:47.000,2021-01-01T00:54:51.000,,15.95,,,49,86,,45.65,0,0.5,2.75,0,0.3,49.2,0
1,2021-01-01T00:06:58.000,2021-01-01T00:13:47.000,1,1.20,1,N,166,41,2,7,0.5,0.5,0,0,0.3,8.3,0
2,2021-01-01T00:07:13.000,2021-01-01T00:40:47.000,1,8.78,1,N,68,37,1,29,0.5,0.5,0,0,0.3,32.8,2.5
2,2021-01-01T00:07:16.000,2021-01-01T00:18:07.000,1,2.03,1,N,151,75,2,10,0.5,0.5,0,0,0.3,11.3,0
2,2021-01-01T00:07:21.000,2021-01-01T00:19:15.000,1,7.09,1,N,148,129,2,21,0.5,0.5,0,0,0.3,24.8,2.5
1,2021-01-01T00:07:22.000,2021-01-01T00:14:33.000,2,1.30,1,N,170,229,2,7,3,0.5,0,0,0.3,10.8,2.5
,2021-01-01T00:07:22.000,2021-01-01T00:31:52.000,,13.70,,,49,42,,40.33,0,0.5,2.75,6.12,0.3,50,0
2,2021-01-01T00:07:26.000,2021-01-01T00:23:00.000,2,7.94,1,N,70,74,1,23.5,0.5,0.5,5,6.12,0.3,35.92,0
2,2021-01-01T00:07:31.000,2021-01-01T00:11:12.000,1,0.76,1,N,43,262,2,5,0.5,0.5,0,0,0.3,8.8,2.5
1,2021-01-01T00:07:34.000,2021-01-01T00:15:51.000,1,3.80,1,N,75,145,2,12,3,0.5,0,0,0.3,15.8,2.5
2,2021-01-01T00:07:36.000,2021-01-01T00:11:27.000,1,1.52,1,N,263,141,2,6,0.5,0.5,0,0,0.3,9.8,2.5
